batch_size,lrate,neurons,objective,elapsed_sec
256,0.002823350805177,106,-0.003397614346712,14185.7218556404
206,0.000885850498946,85,-0.004363333710298,7692.31267952919
152,0.000258365691288,88,-0.005379443454298,8788.28357601166
256,0.035035530142624,45,-0.008719160832807,11322.798637867
87,0.018613858680716,16,-0.012154962505663,10907.1970674992
128,0.01,10,-0.013014825799022,7496.16056442261
251,0.020265987252271,10,-0.014117973574509,15517.5460591316
255,0.115292082520682,174,-0.021207883133551,18090.9740359783
105,0.029200381628426,129,-0.026759149870273,14521.6109330654
191,0.058966783690905,72,-0.02686659835244,19282.0794007778
150,0.084377389920563,196,-0.026874452176074,16456.5302226543
81,0.049965127324784,149,-0.026881358490981,18903.1304106712
213,0.054786504123475,153,-0.026903017766051,18608.5293858051
233,0.100974092732442,124,-0.026931124084701,11288.5604336262
248,0.103443994299852,14,-0.026937279216401,14922.5499756336
89,0.071855159464077,75,-0.026937559466918,13023.5326144695
129,0.936012564855784,23,-0.026943441406126,15474.900333643
255,0.110215228557584,25,-0.026948682993013,11765.089278698
232,0.101551430014422,135,-0.026968362579795,10296.7012383938
141,0.08604302736196,119,-0.026970560379746,17263.9867346287
256,0.161542333825287,146,-0.027022756759023,17268.3405013084
220,0.186157804971957,126,-0.027025680817928,17445.7053523064
256,0.125600610506177,62,-0.027034648246519,13420.042722702
81,0.097648805954135,64,-0.027068470006066,18653.3136060238
197,0.178361586816563,71,-0.027071745694461,7349.67919158936
256,0.122038517932322,64,-0.027087451699569,12403.7361180782
128,0.04705706392929,43,-0.027101802513283,8322.02360749245
255,0.266225496301305,12,-0.027137735385121,14528.4108085632
124,0.158139377439044,68,-0.027156114364374,14040.882288456
236,0.273815171680899,56,-0.02718221009602,5799.09529161453
130,0.197137322177731,33,-0.027184845578307,14878.0231308937
193,0.249150887071632,75,-0.027198701202753,14212.6265780926
163,0.116931382567709,195,-0.027203688621793,15706.4325654507
71,0.116995074252818,83,-0.027241054078319,15372.6923351288
70,0.112362143705781,155,-0.027244566156216,20448.5513851643
192,0.167394779957799,155,-0.027283578369152,21188.7578625679
223,0.310862793730617,10,-0.027328397673098,4547.58670926094
253,0.446588833381932,35,-0.027414789765156,16895.613645792
254,0.41687636841723,48,-0.027423967110355,5028.4346871376
74,0.150776649328842,16,-0.027432418776392,12463.6501822472
239,0.137125389450238,117,-0.027463770863485,10836.4633355141
110,0.260244820414725,55,-0.027473728915206,12356.7408823967
216,0.41762025072634,20,-0.027680137912142,5048.52691149712
256,0.557264363810401,14,-0.02773595302286,13976.0701146126
174,0.400737541434934,29,-0.027926353473286,11679.9989790916
253,0.163802814262935,112,-0.027949129845092,8569.38349819183
240,0.618373717254873,19,-0.027999252333677,19659.885668993
115,0.366682039258615,10,-0.028113223305108,8217.84038829803
104,0.349615516524866,51,-0.028151013352957,18473.7502434254
143,0.521866869626801,18,-0.028224978850871,6989.17511582375
256,0.362051411383915,14,-0.028263955815289,14083.4034554958
109,0.413172317433232,18,-0.028298357645894,16833.2874102592
105,0.479929897496318,14,-0.028413360675949,10972.2415287495
211,0.692350170566701,42,-0.028439192159494,5734.91720080376
238,0.894622819356623,14,-0.028771636265258,15285.3799741268
102,0.6285490284565,25,-0.029002078787457,20467.6508805752
81,0.528958270468846,19,-0.029108291458619,16989.116528511
251,0.535029169392599,13,-0.029347098014844,15244.345117569
123,0.798623402799195,19,-0.029386073358878,8012.7598798275
94,0.689693465838138,16,-0.029594115582382,10096.7806797028
79,0.645978149415776,19,-0.029614858570196,11764.7964317799
219,0.039703339357823,192,-0.029630954901344,13004.6083054543
222,0.593423292779043,35,-0.029812823133329,5358.749117136
77,0.732246699302354,16,-0.029938731674836,11770.9048030376
161,0.5311407133939,15,-0.0300586370586,18409.1446547508
255,0.142121229838184,81,-0.030348368084334,14206.0516066551
208,0.751253728497187,42,-0.030385964882554,5819.98269295692
226,0.294174433558691,69,-0.031076985682382,6849.00361204147
208,0.235135937939236,43,-0.031190501505,5819.59331774712
256,0.628053414970819,18,-0.031635849059624,17522.0984601974
87,0.569660128622935,30,-0.031732415418395,11208.0399904251
256,0.069208382428808,82,-0.032174829835372,18356.7450361252
173,0.349457735850443,102,-0.032524693953087,11102.8871304989
172,0.245199940453507,70,-0.034531228171199,17129.5478613377
231,0.566529487327825,48,-0.036673605474712,5361.6058549881
226,0.704924412616613,55,-0.040204976285985,14962.8927032948
88,0.282259484597873,139,-0.040284991926963,18032.6116011143
120,0.930437656832135,17,-0.040549834750764,8079.09725809097
256,0.984802028633717,15,-0.041014055139337,15564.6547234058
178,0.650988058268738,29,-0.04457572023219,16732.5603206158
255,0.067246678580098,153,-0.04515616872031,21184.3234562874
164,0.225112698869308,143,-0.046177994302768,18232.4147725105
255,0.28471681649946,83,-0.047625503356963,12662.5165944099
224,0.400486395509743,44,-0.050220457957533,12762.8059313297
220,0.156381446223251,182,-0.051893106317595,12403.4736886024
256,0.232830076984187,58,-0.054124855848966,16556.8388755322
228,0.384871110099066,77,-0.064127680034005,7329.55069470406
153,0.323097258740754,68,-0.085276562111969,15806.8630056381
90,0.279401219578847,89,-0.105235372687494,13385.6942358017
81,0.142004920878875,168,-0.138174116991009,19251.0185837746
154,0.695217341323317,68,-0.163911576373094,8452.29750800133
172,0.695738132758645,60,-0.164365202344036,7359.86872029305
221,0.343401298376284,146,-0.175941527606083,19290.4202640057
224,0.26314422254071,181,-0.228281525057392,12312.3868026733
107,0.042198672528608,70,-0.37141777735849,18678.0092673302
256,0.333454648065832,159,-0.557333899801111,16392.9756669998
144,0.267435043214575,76,-8.13988031056828,10933.652037859
128,0.35260774744938,116,-88.6921112633946,16944.396900177
236,0.172006607103951,181,-103.214924885983,19158.2873368263
83,0.747857368166611,43,-124.269263400912,16152.2164428234
186,0.292092290572777,177,-147.329174527545,19921.8575470448
216,0.595823141067224,17,-247.885413871877,6696.95032453537
123,0.052073202405488,73,-305.126031408131,10182.0626718998
146,0.047447051849516,70,-436.039270076871,11875.6931767464
233,0.193155167279797,180,-795.475220984855,11971.9841403961
151,0.043659757370762,80,-1703.01371582286,8499.24656319618
129,0.871533622164586,64,-3471.05826798282,18898.0983498096
