batch_size,lrate,neurons,objective,elapsed_sec
6,0.005232326845556,145,-0.000450315070339,5273.1545791626
9,0.000258365691288,88,-0.001259725500131,3692.5017592907
10,0.029200381628426,129,-0.002296743565239,2706.18478393555
10,0.038519883153295,112,-0.003442569868639,2556.17955684662
3,0.011601288763312,10,-0.004219266516157,13397.6471424103
7,0.007038567276215,10,-0.004289475432597,9145.23885440826
5,0.001979578630482,10,-0.004353490076028,10865.9479744434
3,0.001999500009562,10,-0.004440689680632,11819.2612071037
5,0.003598179621978,10,-0.004442722885869,14866.1529092789
4,0.01,10,-0.004457896575332,5559.19133520126
7,0.01801552127379,10,-0.004514236538671,9636.9876139164
3,0.008960934033882,10,-0.004522316064686,11341.7659945488
8,0.012988281540102,10,-0.004599305801094,9476.76531863213
7,0.008071616700938,10,-0.004620887688361,8695.27796006203
7,0.008468176811817,10,-0.005004131793976,8970.29259753227
7,0.021041682023387,18,-0.0050157134654,3512.30602574348
2,0.013869423285771,10,-0.005252488935366,15794.9993093014
5,0.036353420924948,17,-0.005262951017357,4651.05552792549
7,0.034610424283427,173,-0.005348743428476,4209.83662486076
5,0.026371892022545,116,-0.005583795136772,4848.48611354828
2,0.011134244068617,10,-0.005617232527584,16822.3070123196
9,0.010188325192983,10,-0.005714970291592,10019.2090940475
8,0.02215791627882,10,-0.005719407461584,8283.35617375374
9,0.020039426199175,192,-0.006214813585393,4299.03925871849
8,0.050633567817077,50,-0.006345240306109,3517.73324799538
10,0.029707864634489,10,-0.006621069740504,4796.90437078476
2,0.014443185138769,10,-0.007240981748328,14741.6592862606
2,0.018019338283048,10,-0.00795651790686,14516.3842878342
6,0.030030745022881,10,-0.008195429714397,12796.5847427845
5,0.040696349073282,10,-0.008430657326244,9136.32286214829
10,0.057502169837454,12,-0.008657048456371,4797.07746458054
2,0.026320796904443,10,-0.00874796952121,14907.137065649
5,0.014983720236828,10,-0.00916795595549,10078.3428854942
3,0.046870071773609,56,-0.009730486804619,8037.84265089035
9,0.029155908479892,12,-0.009995139250532,5713.02333784103
6,0.034270572614624,102,-0.01066307304427,4952.15927433968
10,0.112849595005129,197,-0.010758607182652,3016.28256511688
10,0.100974092732442,124,-0.010813853237778,2720.23742866516
7,0.08566990920217,55,-0.010934533411637,3589.67268276215
5,0.064993464927542,84,-0.011029197834432,4705.62097263336
2,0.035482859230499,10,-0.011221339460462,14676.1299607754
9,0.063455611506372,10,-0.011242431262508,8239.2604637146
10,0.223641197220405,84,-0.011270355433226,2454.19358849525
7,0.175137083298471,10,-0.011355952220038,11546.7221868038
