batch_size,lrate,neurons,objective,elapsed_sec
4,0.00179731990744,195,-0.000559968443122,12195.5877892971
10,0.005131071582827,162,-0.000663066515699,5254.75282645226
10,0.008690905438744,197,-0.000695167138474,7300.80783987045
7,0.00766358162965,184,-0.000755392288556,6463.59422445297
6,0.005232326845556,145,-0.000977106561186,4981.93799209595
9,0.008646562141101,181,-0.000990882661426,6576.75659060478
3,0.009717275337953,185,-0.001093833940104,11037.1928040981
8,0.018486250827229,184,-0.001452212641016,6421.17677855492
9,0.014856448381405,187,-0.00160047658137,6576.59267687798
9,0.020039426199175,192,-0.001728620706126,3860.06481266022
3,0.014280457886156,195,-0.001919121033279,12515.7146310806
7,0.013426667615298,195,-0.00203190020984,8147.86750245094
10,0.018304111902111,186,-0.002293782774359,5248.41849637032
10,0.029200381628426,129,-0.002439325791784,2576.10191679001
9,0.000258365691288,88,-0.00244970760541,3563.67325472832
10,0.028474038971848,197,-0.002494909800589,6762.06292057037
3,0.01882479620169,195,-0.00321651706472,12170.9077763557
8,0.019356183494217,184,-0.003713804716244,6316.38588905335
2,0.018163303467456,196,-0.004452507290989,15639.570448637
6,0.019056443848421,199,-0.004984214156866,7870.64580655098
3,0.016953988124356,197,-0.00606267626863,12512.2849795818
7,0.034610424283427,173,-0.006207182328217,3843.91699123383
8,0.036142409585623,198,-0.006462161801755,8035.79748177528
6,0.035842078740275,184,-0.006605259887874,7509.71767878532
10,0.038519883153295,112,-0.006905488669872,2545.50867986679
4,0.01,10,-0.007162633258849,5188.6183526516
10,0.032750760804994,197,-0.007352823624387,7545.49430608749
5,0.036353420924948,17,-0.008093064650893,4381.46598029137
5,0.041164301032028,195,-0.008187711355276,9317.81399822235
7,0.034342328540217,184,-0.008330350648612,6356.88407373428
5,0.064993464927542,84,-0.008355892496184,4542.30085086823
10,0.087251493445309,199,-0.008437576703727,6281.77803277969
8,0.033553093554987,195,-0.00856740642339,8247.0448474884
10,0.083153089286106,10,-0.008698723744601,4500.92385792732
8,0.05380782300382,195,-0.008783188275993,8363.32817602158
