batch_size,lrate,neurons,objective,elapsed_sec
6,0.005232326845556,145,-0.000353557971539,3430.18677783012
2,0.004497455692289,46,-0.000549712099019,11546.0392930508
10,0.008700071473121,45,-0.000611471652519,3838.40199756622
9,0.012975142658824,45,-0.000615320398356,5607.52813100815
3,0.003484928421975,47,-0.000689101636817,9820.61926913261
1,0.001775101484246,46,-0.000696229828463,16900.6078526974
2,0.008716931285335,46,-0.000698930610088,11223.6881434917
4,0.01217142255321,46,-0.000785379484296,9390.63838243485
10,0.017069739322751,46,-0.000887644535396,3852.94628286362
9,0.000258365691288,88,-0.000991070279269,2013.14237570763
1,0.005283658714493,47,-0.00099873754807,16528.790532589
3,0.010039309314283,45,-0.001103228406282,10437.2317538261
10,0.023490832258023,46,-0.001218399615027,5067.36484742165
8,0.026140244882158,45,-0.001324351900257,4245.62312602997
1,0.007458280907185,47,-0.001841182537464,16061.6689326763
8,0.021608506229013,45,-0.001873697666451,4190.90931296349
7,0.021041682023387,18,-0.001930031494703,2539.10779094696
4,0.01,10,-0.002811079728417,2798.00957107544
9,0.020072204826966,47,-0.003376836935058,5565.55544352531
1,0.009727748262021,45,-0.003457518065989,16219.6253449917
3,0.026047705514644,45,-0.00372546412982,10110.6499323845
2,0.016446625782947,45,-0.006683196965605,11546.3745229244
8,0.040100852535114,45,-0.007477094978094,4201.99560427666
10,0.070265866124756,40,-0.008451584260911,3112.95553898811
9,0.054448791942254,47,-0.009047234244645,4606.86493110657
5,0.026371892022545,116,-0.009086460340768,3265.96822166443
10,0.0677472163453,45,-0.009101029485464,3795.70930290222
5,0.036353420924948,17,-0.009127190802246,2427.93213367462
3,0.029034177735147,47,-0.009203101042658,9905.98029828072
3,0.032488843647029,45,-0.009257481666282,10522.605527401
8,0.037477871581354,47,-0.009269869700074,4451.10497975349
3,0.041380205411234,47,-0.00941193359904,10162.5301136971
3,0.046870071773609,56,-0.009509532479569,4670.1017882824
4,0.064076612007725,50,-0.009535812214017,10295.6838300228
9,0.114223999490786,12,-0.009545652288944,2595.97780108452
10,0.029200381628426,129,-0.00956309819594,1535.5435526371
2,0.033341151784747,47,-0.009650712925941,11379.639878273
3,0.060886400026373,46,-0.009740424482152,9874.49320101738
1,0.019435491504645,43,-0.009746460290626,11795.2572577
1,0.020041563816815,46,-0.009772510151379,16373.4122419357
5,0.10974328860076,23,-0.009788304800168,3012.57928466797
8,0.050633567817077,50,-0.009801034070551,1878.12000060081
2,0.042072699363307,47,-0.009854553639889,11268.602741003
8,0.166684355954695,19,-0.009886585175991,2515.77949666977
1,0.026790276359054,45,-0.01005761041306,17254.7937543392
5,0.147252608189084,27,-0.010131252929568,3051.57365441322
1,0.030872118139038,45,-0.01022016312927,16901.3349936008
2,0.060259745344509,45,-0.010258253663778,11374.6516206265
2,0.063188462041411,42,-0.010327057726681,6986.98104405403
1,0.035035530142624,45,-0.010375329339877,11209.3552122116
1,0.043623626248326,47,-0.010669904854149,16443.1159920692
5,0.237290435471617,12,-0.010759698227048,2990.95796370506
1,0.062121734537057,40,-0.011247487273067,11886.0518872738
1,0.070262514365038,46,-0.011474490258843,16299.301684618
9,0.020039426199175,192,-0.013641119142994,2258.34955835342
10,0.038519883153295,112,-0.01493318984285,2153.08726739883
3,0.100802854476436,43,-0.015247068740428,5774.60344743729
3,0.25700673509706,13,-0.016429120022804,3910.00742173195
10,0.109714944793586,44,-0.016519638709724,3337.58757400513
10,0.432241164549917,12,-0.016872712410987,2053.20677137375
4,0.089060715063073,51,-0.018116600811482,13021.2659244537
10,0.13073988878302,46,-0.022227126173675,5157.06416201591
3,0.120436631011444,41,-0.022855853382498,5559.22657680511
10,0.169729309890266,45,-0.025384052656591,3893.58167815208
9,0.26871437308042,19,-0.025566320773214,1841.95936274529
6,0.034270572614624,102,-0.025840022787452,2559.84989070892
1,0.043797233950298,45,-0.025947658671066,16081.390182972
7,0.421838078271219,19,-0.027115812525153,2587.70324206352
10,0.372568902741775,19,-0.027270259335637,2078.10843801498
10,0.113736711175726,47,-0.027891841717064,5056.6271135807
7,0.08566990920217,55,-0.028586706425995,2653.80864095688
1,0.051318721583908,45,-0.030014858674258,16072.3471775055
8,0.09606211533133,45,-0.030576684698463,5532.56743717194
10,0.115384947359626,47,-0.030581953004003,3917.17538881302
9,0.117163539326723,41,-0.030782611016184,3634.98473405838
10,0.174996446222497,46,-0.032150090672076,3887.59821844101
7,0.079474959967666,47,-0.033592576161027,5082.11275625229
4,0.1395788532494,46,-0.03720857873559,9570.88768911362
9,0.191187631689246,45,-0.038200617767871,4323.89697027206
8,0.137505855861847,44,-0.038230980187655,3738.15739893913
9,0.085980531830966,45,-0.039000168815255,5913.26133489609
10,0.479929897496318,14,-0.039598897099495,2088.0003285408
10,0.253892718913012,43,-0.040634410455823,3337.25496077538
10,0.110586156572641,45,-0.04101693071425,5042.07149457932
10,0.523781386501869,18,-0.041925890371204,2063.77028512955
4,0.165443554321536,46,-0.043506627902389,10018.2547879219
3,0.043394186303446,103,-0.043696489930153,4835.65592598915
8,0.076696726592079,47,-0.044320393353701,5114.94094824791
10,0.303334250336584,32,-0.04530475102365,2098.07400202751
10,0.151394261577362,47,-0.045840939506888,3978.17658996582
10,0.243585780851892,46,-0.046590235084295,5263.25859594345
5,0.064993464927542,84,-0.047257664613426,3227.76589751244
10,0.177955677502616,45,-0.051860531792045,4124.91889715195
3,0.32056078778378,17,-0.052515130676329,3772.59654021263
1,0.085068667079786,45,-0.054561371542513,16065.750161171
2,0.066173201901759,60,-0.055733868479729,18542.2887988091
10,0.27874143183725,46,-0.056247312575579,4196.1552670002
10,0.177512911707164,47,-0.057909144088626,4072.31321573257
4,0.366802637929241,29,-0.059163089841604,3548.62670493126
7,0.177841929695036,47,-0.061189841292799,5256.65878605843
7,0.388423357639179,22,-0.061384263075888,1858.38801598549
7,0.034610424283427,173,-0.06162073109299,2871.95976924896
7,0.297559299025158,46,-0.061791437491775,5046.26632618904
9,0.200265272850797,45,-0.062178713828325,4320.67879271507
3,0.120117348493119,45,-0.064540745504201,9839.02150416374
10,0.287399951028822,39,-0.068816775456071,3006.36428427696
