batch_size,lrate,neurons,objective,elapsed_sec
9,0.000258365691288,88,-0.003113438771106,2085.86994719505
4,0.01,10,-0.018258160725236,1504.51900267601
4,0.861279053237566,75,-0.026166198775172,11088.2315206528
10,0.54705937719633,34,-0.027229057624936,2041.84672856331
10,0.858054071414781,51,-0.027229066006839,4633.41249108315
8,0.863747981644612,26,-0.027229076251388,10613.2204451561
10,0.857954860919569,22,-0.027229093946517,2230.71722602844
10,0.272338243587388,47,-0.027229109779,2200.08625364304
5,0.608199035153987,86,-0.027229112107307,3630.98905706406
6,0.597505626187301,95,-0.027229119092226,3134.62925553322
6,0.86293786475665,46,-0.027229121141136,11333.8654623032
5,0.857933817758082,46,-0.027229144237936,11520.2765831947
10,0.859966514790541,38,-0.027229146100581,4564.89333057404
9,0.859551826111843,29,-0.027229157555848,10755.9933073521
5,0.115667670893123,193,-0.027229161001742,3465.74180746078
10,0.323097258740754,68,-0.027229174040258,2904.146494627
10,0.811381344966157,25,-0.027229174040258,3730.87593412399
7,0.112362143705781,155,-0.027229184098542,3325.04486703873
6,0.702100397414886,58,-0.027229189127684,3371.1376824379
9,0.858852141262926,38,-0.027229192387313,10776.5618035793
10,0.73610269567598,41,-0.027229193598032,7252.77931404114
5,0.864001391675833,43,-0.027229195926339,10501.5217473507
7,0.218223385418043,88,-0.027229211200029,2623.3684027195
10,0.859964869311824,18,-0.027229225263,8339.63312792778
10,0.826849238646286,20,-0.027229251340032,3991.52510905266
4,0.85915974971305,102,-0.027229251340032,10406.0001072884
9,0.858474938136726,26,-0.027229256927967,10265.6215248108
9,0.859386953112213,26,-0.02722925785929,10506.4304420948
10,0.846309809438433,18,-0.027229263447225,3302.58826684952
9,0.860237309579393,41,-0.027229297254235,10541.1563749313
5,0.225112698869308,143,-0.027229302562773,2869.33822870255
7,0.85862887969629,11,-0.02722932882607,8259.55053758621
10,0.851422177711123,20,-0.027229342609644,3785.74019622803
6,0.601369454256121,55,-0.027229379303753,2733.56420373917
4,0.996351117855561,46,-0.027229478955269,2407.78508162498
5,0.86306818942488,58,-0.027229571714997,11705.2477881908
10,0.303334250336584,32,-0.027229620143771,1634.17971110344
5,0.897676793357944,38,-0.027229642961174,2421.72576975822
