batch_size,lrate,neurons,objective,elapsed_sec
250,0.002219356380585,184,-0.000720519158207,18907.9712216854
184,0.001475894904797,146,-0.001191715211442,18626.2382183075
248,0.005171280888978,163,-0.001209694068803,17858.6634933949
219,0.001557896775207,115,-0.001449233643764,16224.6916000843
123,0.000962889279164,101,-0.001454698421644,18915.0349647999
186,0.000462252836644,142,-0.001659707933332,17278.5752153397
251,0.001314706970163,105,-0.001682408560359,15112.4150974751
102,0.00063162784492,99,-0.001900805406601,18063.687681675
224,0.011602918068916,69,-0.002175834243398,14194.3075864315
208,0.001023843832005,87,-0.002223100159356,15648.123664856
206,0.000885850498946,85,-0.002382778756526,8458.10245394707
238,0.016073408446935,72,-0.002478917688058,14479.6759324074
223,0.00040372314392,119,-0.002646204060948,14589.1438140869
210,0.000577524339745,99,-0.002710587562461,13627.561403513
188,0.017799199868282,86,-0.002893717565412,15707.5574653149
160,0.000170531472729,160,-0.002952632328519,19439.528922081
193,0.018506082379048,80,-0.003013346500652,15431.1313405037
226,0.014313496039497,60,-0.003256685167574,13722.2309789658
243,0.005499642754119,38,-0.003335407841465,12012.4165272713
193,0.017227206349252,71,-0.003389940967386,15112.7693631649
249,0.005353233639423,46,-0.003505300393567,12458.1673038006
97,0.017860274592891,63,-0.003597908701781,19093.6698496342
225,0.001485974313164,49,-0.003636280281298,12604.7555451393
152,0.000258365691288,88,-0.003850914565516,9368.4449865818
215,0.000155017395076,146,-0.003888954219748,16983.3493220806
219,0.039703339357823,192,-0.00423785771461,13487.6200265884
150,0.017770779494238,33,-0.004313393650063,14834.5210893154
221,0.017887436406135,49,-0.004449488939951,13948.6140663624
206,0.000209029504269,94,-0.004564743977242,14518.3472874165
206,0.001117137602791,44,-0.004602832902497,13647.0421323776
193,0.017702344501732,82,-0.004610716684509,15222.2336792946
87,0.010710667101054,47,-0.004670753684293,19001.9703657627
249,0.038519883153295,112,-0.004679120905354,9156.27633428574
88,0.017539693128143,33,-0.004681854080681,18776.635109663
124,0.015624121071426,25,-0.004989599156347,15924.3873276711
114,0.000152636659535,58,-0.005236852088348,16094.3429422379
105,0.029200381628426,129,-0.005500844425919,13752.1233024597
188,0.020338393766251,62,-0.006350137874103,15171.7467961311
220,0.019550135251784,63,-0.006632375815739,14609.9488863945
233,0.006588784268113,15,-0.006661774420776,11793.5183444023
235,0.004988598187027,15,-0.006835915584512,11501.7445485592
87,0.018613858680716,16,-0.007190785479405,11422.299475193
176,0.010946587024006,13,-0.007285631357426,13381.4038846493
177,0.018175039487122,16,-0.007344526429865,14032.2741932869
146,0.047447051849516,70,-0.007727227875543,9460.82757353783
128,0.01,10,-0.008038775559266,6980.62797045708
256,0.035035530142624,45,-0.008427474457996,4737.84857392311
151,0.043659757370762,80,-0.008571967772414,9061.76567840576
107,0.042198672528608,70,-0.008886913720145,10292.450922966
227,0.000515588298504,15,-0.009076030590982,10193.9584071636
128,0.04705706392929,43,-0.011244849603242,7846.10723686218
166,0.017599014414472,117,-0.011289834241638,17697.3661234379
221,0.018281839673022,85,-0.016185541825062,15819.5470540524
110,0.020799854700084,87,-0.01679163833979,18871.2169878483
183,0.018632376926567,65,-0.018998279430104,15913.5615603924
123,0.052073202405488,73,-0.019725479154667,9522.23746347427
175,0.017894299112321,55,-0.022970212325026,14725.4736783505
81,0.097648805954135,64,-0.026097939294298,13701.8197567463
185,0.030710562452042,116,-0.026734449902631,8779.6622068882
112,0.10395629025773,20,-0.027030583685711,8277.24037337303
213,0.054786504123475,153,-0.027305247601596,11822.0910439491
223,0.310862793730617,10,-0.027328397759814,5540.72049045563
74,0.150776649328842,16,-0.027432418776392,11893.4064397812
253,0.446588833381932,35,-0.027993862994894,4457.65154767036
115,0.366682039258615,10,-0.028113223036794,9116.43521380424
143,0.521866869626801,18,-0.028224978405625,7790.67959332466
177,0.099797242565323,95,-0.028262340536415,8182.53450679779
248,0.46065719266284,11,-0.02875494514524,9015.20798802376
224,0.515603082288393,11,-0.029431773047109,9511.84518742561
256,0.628053414970819,18,-0.029826465877461,5294.42477250099
220,0.156381446223251,182,-0.030149490753333,11562.2419843674
105,0.479929897496318,14,-0.030667889767982,9872.73408794403
81,0.528958270468846,19,-0.030880980434903,12550.659733057
71,0.116995074252818,83,-0.031146419108583,15862.8017451763
82,0.104948958000856,67,-0.031804363178342,13837.5912246704
233,0.100974092732442,124,-0.031946241193585,8674.33713316918
104,0.368189098388444,44,-0.032520680351179,9563.24141216278
228,0.519289941460055,10,-0.032863578557315,9685.50127696991
216,0.595823141067224,17,-0.0330614190432,5880.7374830246
109,0.413172317433232,18,-0.033589671120934,8342.3409986496
113,0.919628545006489,17,-0.033708599056185,18862.8220312595
81,0.049965127324784,149,-0.03371389527146,19078.5347442627
216,0.41762025072634,20,-0.033992405549967,6014.77750778198
228,0.531834942799108,11,-0.034133031539666,9671.32182192803
141,0.08604302736196,119,-0.034954599312863,10309.0940637589
66,0.140954844693781,66,-0.035784912580286,16585.0248734951
208,0.235135937939236,43,-0.036224826096337,5462.55772137642
130,0.197137322177731,33,-0.036435344950578,8731.07243061066
155,0.693286275487577,36,-0.037908227941204,6613.35998439789
184,0.140139846545372,78,-0.038005493800613,8097.20696377754
104,0.089950342514181,151,-0.040809694108299,16596.2997677326
252,0.654889265027955,12,-0.043847747680601,8619.54337334633
102,0.6285490284565,25,-0.044133848516516,10233.0902490616
221,0.153697880088896,51,-0.045904545826227,6745.7806634903
120,0.930437656832135,17,-0.051279985736706,8831.76464128494
116,0.766553450204162,12,-0.051303811131788,8918.82662653923
161,0.5311407133939,15,-0.05580918138384,7109.1735355854
124,0.158139377439044,68,-0.057615482671836,9247.78969669342
94,0.689693465838138,16,-0.06404211374548,10745.307587862
79,0.645978149415776,19,-0.06508282622583,12775.0462145805
92,0.2395144456117,53,-0.066721421008879,10734.678440094
77,0.732246699302354,16,-0.067315909143592,11471.4107141495
240,0.618373717254873,19,-0.06861393575193,5526.467420578
120,0.92313144236882,18,-0.072740574454838,20055.3267128468
256,0.922965356854671,92,-0.07482988264155,19564.7870194912
87,0.569660128622935,30,-0.077450490392558,10499.8496448994
197,0.178361586816563,71,-0.077756440571056,8088.26152873039
184,0.922897265696071,20,-0.082753009394216,17749.5560131073
126,0.510202392024574,54,-0.085812172218224,9663.00570368767
239,0.137125389450238,117,-0.091602078777794,9467.05363440514
224,0.400486395509743,44,-0.094401102175543,5182.58095645905
174,0.400737541434934,29,-0.094922135819318,7011.00125479698
116,0.65675148961369,43,-0.095133987716195,9917.21193575859
248,0.913352993028737,16,-0.097157807623295,15326.8782029152
227,0.584067313401009,24,-0.097553888118451,11212.861140728
75,0.310939863031729,60,-0.103137560406533,14435.2778129578
123,0.798623402799195,19,-0.10386283588761,8780.15100288391
172,0.245199940453507,70,-0.107407666817463,7459.962890625
127,0.594585803125469,29,-0.113180155669473,8660.13617324829
219,0.916736071834438,36,-0.119070221932453,15812.9314119816
104,0.349615516524866,51,-0.132479661659557,10765.9115383625
112,0.642342296574807,23,-0.137698011626033,9580.79096698761
123,0.392352971746573,61,-0.137761888044083,9987.64139389992
105,0.919265239726292,15,-0.141354100732036,20232.0627064705
109,0.92225196288144,26,-0.155740123551673,18702.7940647602
170,0.031145087753036,192,-0.159034301692111,15682.8471558094
79,0.64186304184388,52,-0.164428790215411,13506.3765203953
153,0.323097258740754,68,-0.168244526630155,7893.42984867096
227,0.504200746780099,44,-0.176009631202029,11104.6683914661
178,0.650988058268738,29,-0.185506506968826,6942.35115718842
206,0.922390488825111,21,-0.186026507060749,15768.2468416691
227,0.426436009438122,60,-0.192398421544123,12199.7496576309
243,0.923283632678067,22,-0.196943599666957,16019.1108908653
227,0.919001319082431,15,-0.200880712566271,14558.6514472961
103,0.651312379569078,49,-0.210159229942148,11019.6203744411
104,0.282281281378554,103,-0.215518723020723,13081.410084486
97,0.91189175265208,23,-0.216958118550526,18571.0013244152
123,0.151640124568892,134,-0.217496288744324,14700.156979084
227,0.919651631228018,28,-0.238227089566017,16049.8615543842
231,0.204577535661864,138,-0.239915153717074,9569.26945137978
129,0.936012564855784,23,-0.254107935312894,7405.75383830071
211,0.692350170566701,42,-0.26163667522853,6587.18499779701
215,0.604753208779637,77,-0.262913251633995,8133.34945464134
111,0.875546792878084,32,-0.264844563082327,9822.22558617592
112,0.937892619235747,36,-0.282405969257892,8595.40741300583
208,0.751253728497187,42,-0.286804006841337,6681.73089385033
187,0.20777591023789,135,-0.290104867293964,10058.4069888592
236,0.172006607103951,181,-0.291539266431755,12519.552567482
77,0.183827161946004,156,-0.303528601019828,18681.4545311928
94,0.571950683106546,58,-0.304896600398241,12089.0426492691
233,0.193155167279797,180,-0.331796140898805,12434.5664284229
227,0.654440011365981,47,-0.340324051267543,11732.8911559582
122,0.894306692012605,38,-0.350109712751524,9309.78469491005
173,0.349457735850443,102,-0.373896094665149,9703.46760702133
202,0.922812066487323,46,-0.404591918520489,19375.6142616272
172,0.695738132758645,60,-0.421214818780258,8148.31025385857
68,0.226659532532988,156,-0.436962784394342,20685.5359637737
216,0.922909192212025,49,-0.440054370789538,17617.2677600384
251,0.915830516179817,46,-0.44645593523637,6104.94323730469
103,0.196886895821151,187,-0.453669661569695,19051.1399285793
128,0.874289799956736,42,-0.462082047477396,9125.75760030746
144,0.404834722725874,105,-0.473267888251327,10852.645250082
227,0.752375122137142,61,-0.486977539801025,11666.5495285988
136,0.550326152845576,84,-0.53330552866663,9892.74009728432
240,0.587619692830335,68,-0.538077615683661,6128.99754977226
227,0.927302399355037,47,-0.557615657888026,11757.2124884129
116,0.852678823162897,66,-0.599012696892334,10705.7567639351
106,0.449593208610847,110,-0.599467826505544,13206.9370224476
133,0.942309525750228,28,-0.607797643906264,8510.71593475342
230,0.922865414874461,44,-0.615858268140502,17354.4406383038
95,0.914086666090831,65,-0.626547771729607,20646.1136345863
169,0.531870872694329,77,-0.729979599355905,9166.51141476631
214,0.916357499337225,51,-0.750651773082439,14991.5739891529
143,0.922454426121418,55,-0.882082463278278,18098.3848273754
75,0.807710013259274,78,-0.891878534925009,14851.9367010593
245,0.91748686732428,57,-1.09945440320356,14890.8809912205
244,0.922825264417389,64,-1.15363147634554,17637.9860124588
183,0.922562974071172,75,-1.16104555485268,18119.5791525841
132,0.922681926820966,64,-1.22919466721987,18827.6178979874
128,0.965546340322267,55,-1.26558012504418,9491.64024996758
227,0.91305616079836,64,-1.41687461192523,14338.1807761192
216,0.922793143923039,68,-1.41886509161653,18426.8236780167
163,0.68395816886098,101,-1.48346371765177,8649.74637436867
170,0.918919852564882,78,-1.52108104660765,17231.8274288178
199,0.914778074386816,89,-1.56628285816915,21040.1336832046
235,0.916572814825676,174,-1.62806017233335,20345.3356530666
145,0.921929792221176,103,-1.63007634100436,19571.638433218
222,0.772984038535719,81,-1.7197653480263,7590.07055592537
187,0.922963653269356,95,-1.72671828785122,20826.3973813057
206,0.922808699581057,78,-1.73113512863446,18280.1922066212
243,0.922841860309388,59,-1.86117193951487,19229.4599268436
230,0.914802426545736,122,-1.87767236404479,19763.6213293076
194,0.773324090223018,86,-2.2192703253541,8232.7961499691
240,0.921095509957236,115,-2.25690856258655,18910.7735238075
249,0.575270601858919,175,-2.29624871910241,10674.4124441147
254,0.525643824391452,141,-2.47303214682915,8845.96055388451
217,0.766344635139684,101,-2.61785449772638,7756.44213986397
227,0.914810007576494,104,-2.77559607065047,18727.5756626129
225,0.876833024500477,110,-3.05081412289486,7897.56201577187
254,0.900573859817616,122,-3.14654682934409,17357.8009898663
232,0.101551430014422,135,-20.7512430911771,10800.2234342098
190,0.656341797126043,38,-48.3272340292722,6815.85561847687
191,0.058966783690905,72,-60.8333086057595,8403.59148907661
253,0.163802814262935,112,-153.129770469267,9115.94339585304
252,0.398066034636257,32,-155.12123506104,8684.7521750927
253,0.280171448156366,62,-170.55289795782,6657.45798921585
192,0.167394779957799,155,-212.82974306238,11267.1710588932
161,0.823175132925209,132,-297.942269375031,11683.1996865273
122,0.129647882504628,99,-308.09427413144,11617.2856097221
144,0.267435043214575,76,-318.519244690578,9191.73148417473
163,0.116931382567709,195,-329.574090187535,14685.0905253887
254,0.41687636841723,48,-355.31777407461,5883.58712625504
117,0.141075050787464,118,-388.189138529545,12565.7116305828
115,0.216655699071382,84,-454.413462549261,11090.4034464359
224,0.26314422254071,181,-459.368691755386,12766.3161888123
241,0.313735399040269,189,-485.13583212516,11701.4823100567
228,0.384871110099066,77,-490.295754399628,6834.18638634682
187,0.901039265370583,69,-538.501535397333,16214.040119648
225,0.917147231595776,82,-561.021432227531,16412.0751998425
254,0.86369466762727,125,-608.769845574684,9692.18048381805
227,0.343955995083556,56,-614.002326598994,11316.3270170689
208,0.802486757914419,200,-622.249015257005,12733.9866786003
150,0.084377389920563,196,-629.983177360264,15422.4319291115
70,0.112362143705781,155,-675.787478389222,20624.9700818062
222,0.593423292779043,35,-777.739115533052,6271.11273479462
89,0.071855159464077,75,-788.19740491003,12128.3536043167
65,0.945057653002052,53,-830.502348993417,14660.3538393974
254,0.402037155100944,97,-924.563503818074,8202.65027713776
140,0.538040599872217,106,-1147.31469165906,10930.5427560806
236,0.273815171680899,56,-1284.69824234041,6647.38039422035
245,0.922708390406812,128,-1429.81927725965,19766.9004034996
210,0.50199175719833,165,-1464.82801554447,12785.4194462299
218,0.436272831583875,157,-1465.84904616959,12183.0715708733
175,0.923195781158109,83,-1626.26304464002,19851.109900713
248,0.918616311205442,42,-1797.05752019384,14319.7978405952
175,0.917786871138898,46,-1906.68843196479,15587.2373707294
208,0.941384206381058,111,-1949.58615758334,9601.10579013825
233,0.924467716269989,105,-1992.47889804402,19420.3538475037
129,0.255128898065676,147,-2043.12995648792,13527.0100677013
125,0.918222744142104,52,-2169.41453924956,17915.6340711117
144,0.915651121180791,90,-2249.74283215358,18524.1994175911
142,0.589104188563105,187,-2361.37879564767,16375.3097243309
233,0.964333587317138,73,-2415.58899878898,7843.06558465958
98,0.214885810152176,168,-2483.8569474063,16504.8689858913
81,0.142004920878875,168,-2614.24327657616,19356.7764797211
79,0.792357510889438,131,-2706.23633281413,17717.8135111332
222,0.523551816246044,150,-2707.81514844158,11616.7963862419
239,0.605316530837111,182,-2721.66219225029,12635.1001152992
234,0.591897431680508,143,-2780.89849708254,11114.9048647881
143,0.440092896608248,89,-2827.28765779945,9177.33541750908
164,0.51611284133254,127,-3370.23253706452,9873.17664694786
86,0.398907427875439,104,-3387.03146866896,14654.9936356545
133,0.447079020387287,188,-3395.99944716675,16575.7814049721
247,0.917847561744619,45,-3596.173708807,14870.419107914
186,0.292092290572777,177,-3643.10228681783,14093.2020030022
226,0.294174433558691,69,-3655.28449013855,7742.29773879051
227,0.406229498670539,168,-3664.08361186941,16060.7669968605
90,0.279401219578847,89,-3729.02657259183,12413.4609875679
192,0.800481685879931,191,-3847.70083242269,13938.2558414936
177,0.382760596811744,67,-3903.75681692613,8533.02793264389
235,0.914710684290171,187,-4042.91409524746,20965.1954145432
87,0.914118251304095,80,-4147.89157141445,12213.7116215229
164,0.225112698869308,143,-4270.08098496216,10914.1412870884
186,0.329400149444613,105,-4375.87084512412,9566.45548653603
217,0.918666674630222,126,-4497.70351914185,18473.5494773388
76,0.734720370964654,107,-4766.4179782302,14740.4400420189
153,0.705189620988383,137,-4834.32588767289,12424.2530338764
154,0.143864732974286,175,-4885.38742426034,14779.7748820782
237,0.909399706964797,134,-4979.81341305536,18269.4404945374
110,0.260244820414725,55,-4988.52494209943,9548.76133942604
88,0.282259484597873,139,-5035.87445565305,18094.8303687573
125,0.402273322914018,146,-5406.04748764516,14901.7580666542
176,0.922889561257038,73,-5807.16071649922,19524.1913371086
231,0.566529487327825,48,-5812.61171059499,6173.07840847969
220,0.186157804971957,126,-5848.26585945655,10273.8940124512
168,0.759508536236507,174,-6032.13238130382,13405.8544096947
232,0.913844263281703,96,-6371.96658137885,18529.2174768448
176,0.925308554084452,197,-6407.82584771334,16163.3538036346
128,0.35260774744938,116,-6464.14893495564,11868.5251536369
66,0.765687079107058,48,-6572.01230601269,15397.6162967682
193,0.249150887071632,75,-6628.10738640071,7209.33865594864
129,0.922724088406399,93,-6632.53058506084,20753.599779129
131,0.919198627265778,84,-6941.33910029338,20062.2236766815
150,0.536124524539403,163,-7119.91614712454,14552.0487055779
65,0.259787030477466,153,-7290.40211846784,20345.0555722713
238,0.923143009374159,36,-7376.57542293923,18885.9632070065
91,0.458924759875805,150,-7419.10151367188,17732.9627091885
204,0.922569578051782,113,-7902.23346204658,18950.9165892601
93,0.578481712923521,156,-8377.16957931359,17558.4254426956
117,0.918108932679502,33,-8532.52235251045,17662.9581756592
98,0.635244216562214,85,-8544.21330000652,11166.0013940334
138,0.382873053743896,146,-8669.32613507552,12981.4993629456
181,0.913551420499325,89,-9049.52967526748,17171.0775036812
250,0.520935867243116,193,-10033.6443069872,12695.4037139416
86,0.53488507586403,158,-10688.9674427518,17303.7228059769
250,0.33477643693547,114,-10726.8286550757,9205.96979522705
85,0.702100397414886,58,-11211.249091226,13126.2323541641
83,0.747857368166611,43,-11598.9809593248,11401.6260519028
184,0.857597902834849,171,-11644.9271435445,12454.9771928787
138,0.984938061515043,102,-11660.5714409496,10814.8716771603
230,0.920482175112797,69,-12014.3705993525,17693.6850533485
227,0.918511940895585,111,-12698.7274317731,18925.851608038
134,0.602440360728208,91,-13445.2275570035,9691.89435315132
95,0.29723248807636,190,-13565.5497746159,19277.2813632488
160,0.922502563538182,86,-13675.4891681074,19502.203012228
231,0.923467240032703,71,-13782.7985810282,18204.7020123005
198,0.6511147105488,155,-14018.7984915269,12529.9339807034
221,0.343401298376284,146,-14218.16561185,11460.6614148617
245,0.535893572347819,197,-14783.2217683732,11722.5221853256
207,0.791869407380166,163,-16883.1511983788,11372.6259212494
