batch_size,lrate,neurons,objective,elapsed_sec
6,0.005232326845556,145,-9.29767620618804E-06,1817.47489833832
9,0.000258365691288,88,-0.000272734419559,3868.19032382965
10,0.029200381628426,129,-0.000442296543042,2651.0779311657
3,0.012895846830634,11,-0.000950520180049,12290.8045942783
4,0.011289276026779,11,-0.000962782173883,10635.981190443
7,0.010602629636776,11,-0.000973948149476,9243.00459599495
5,0.00619947160682,11,-0.000997188908514,9265.99263834953
8,0.013650394860202,11,-0.001000350352842,7621.93586826325
6,0.0134929817709,11,-0.00104589710827,9211.74338030815
4,0.011766785388283,10,-0.001093004597351,10481.5543262959
4,0.01,10,-0.001095504732803,5642.47254037857
7,0.009961525463276,11,-0.00110158638563,7382.26539349556
4,0.016662413608958,10,-0.001117005501874,9955.67613101006
3,0.012140727723582,11,-0.001194305397803,12563.8622426987
9,0.007481304069288,11,-0.001198861963348,8171.1459851265
8,0.017020834798218,10,-0.001219332800247,7257.18440580368
8,0.005033378512824,10,-0.001251133647747,7185.54573488235
10,0.004249572129107,11,-0.001269591739401,6271.22823739052
3,0.019075678526284,10,-0.001282463065581,11515.749502182
4,0.001638449703239,11,-0.001290859747678,10494.0337688923
7,0.054793326613807,11,-0.001469153125072,7019.70370316505
5,0.022175335285766,10,-0.001478489488363,8201.21736764908
3,0.016985133938157,10,-0.001522837037919,11853.2037901878
9,0.058607299806155,11,-0.001542828528909,7060.48407697678
9,0.002244185772629,11,-0.001617851690389,8323.43338418007
4,0.033145396048878,10,-0.001633517141454,9201.23279500008
7,0.021041682023387,18,-0.001757990411716,3385.99219584465
5,0.000754596337457,10,-0.001914543448947,8341.94519042969
9,0.020039426199175,192,-0.002457164425869,4078.83309483528
4,0.000268665824422,10,-0.002914405055344,9673.49641132355
5,0.026371892022545,116,-0.004370556212962,4799.82758951187
4,0.082018075656504,10,-0.004604484513402,8969.95945596695
10,0.138450362680345,10,-0.005737273721024,5658.1199157238
6,0.034270572614624,102,-0.005998217919841,4710.2881424427
6,0.048367216746674,10,-0.006565008033067,8219.05998539925
9,0.115242663598284,10,-0.006630233535543,6781.0709400177
8,0.050633567817077,50,-0.007850111275911,3592.72733831406
5,0.021776788451753,114,-0.008078738115728,6754.60192728043
8,0.166684355954695,19,-0.008907161839306,3451.71368074417
5,0.036353420924948,17,-0.008977650897577,4440.93857932091
9,0.133965041922841,10,-0.009275420149788,6683.92523932457
9,0.114223999490786,12,-0.010940724750981,3355.7667350769
7,0.08566990920217,55,-0.011540670879185,3421.36300158501
3,0.046870071773609,56,-0.012791597424075,7597.48373651505
6,0.652051140986385,10,-0.014040581788868,8174.31098985672
7,0.522454913584083,10,-0.014064332516864,6895.01008749008
8,0.791653328229281,10,-0.014085354097188,16038.9643602371
5,0.147252608189084,27,-0.014327886747196,4493.23619604111
6,0.390359353684216,10,-0.014405690319836,7725.00129389763
10,0.272338243587388,47,-0.014594084583223,2418.19951105118
4,0.856573684859503,10,-0.014691957272589,20951.0199029446
10,0.713519658074006,10,-0.014695997349918,5220.79997992516
5,0.10974328860076,23,-0.014792994828895,4528.84872174263
4,0.858069272779391,10,-0.015093841589987,19276.5009860992
5,0.237290435471617,12,-0.015114097390324,4520.50432705879
8,0.309642792580575,11,-0.015153141692281,6835.15235877037
3,0.043394186303446,103,-0.015221921540797,8218.87529158592
7,0.388423357639179,22,-0.015242197969928,3481.93025708199
9,0.26871437308042,19,-0.015434361388907,3385.81792736053
8,0.844496234800657,11,-0.015747134760022,11367.351580143
8,0.844816803900998,11,-0.015789260715246,11337.9192590714
10,0.432241164549917,12,-0.015903782099485,2309.46337652206
6,0.140331673003954,111,-0.015971179399639,4921.55773854256
5,0.772292060860488,10,-0.016295011853799,10642.3705694675
8,0.562338822461579,21,-0.016421565413475,3471.42049980164
4,0.72348049049228,10,-0.016437980160117,19744.6482360363
4,0.555018631799463,14,-0.016479394584894,5358.76623940468
8,0.721823491988468,11,-0.016533610224724,21156.6555938721
10,0.479929897496318,14,-0.016641088761389,2293.65392661095
8,0.840366160747283,11,-0.016719803214073,11439.3727991581
10,0.423078589187472,10,-0.016745822504163,5699.82605886459
4,0.693658992202598,10,-0.016806828416884,16830.5233333111
8,0.760107843457983,11,-0.016968343406916,11528.5146565437
8,0.741246105716258,11,-0.017030049860478,10161.0942425728
8,0.534687306782046,10,-0.017101519554854,6835.01074743271
8,0.573277666361451,10,-0.017103347182274,8150.63524532318
10,0.773582434880827,13,-0.01715153362602,4840.53272247315
3,0.704866197242049,10,-0.017245373781771,18178.6310508251
5,0.990669113970894,10,-0.017402048921213,14820.5084855556
7,0.798666103069993,11,-0.017402471695095,10244.3362357616
8,0.557315952708587,10,-0.017418674007058,6830.59306693077
10,0.569943575955338,10,-0.017713055945933,6053.63240790367
4,0.216655699071382,84,-0.017939506471157,5779.60640406609
8,0.576890378066548,11,-0.017975020781159,6927.24480652809
5,0.990676095349735,10,-0.017996397800744,17878.1272575855
8,0.79751668357125,11,-0.018398409709334,9688.70350003242
4,0.23963626563748,55,-0.018461125716567,5874.54406237602
8,0.867118054859093,10,-0.01859986409545,15137.2381620407
10,0.038519883153295,112,-0.018649713136256,2538.51393032074
8,0.797205562248129,10,-0.018693382292986,14813.0288825035
6,0.74910276850584,10,-0.018787571042776,15124.8487710953
8,0.816332781685821,10,-0.019018777087331,8143.85610532761
8,0.805832588774478,10,-0.019105239212513,11115.6101961136
8,0.861103120281562,10,-0.019113516062498,17014.6785674095
7,0.690243590143742,14,-0.019174665492028,5657.95823335648
3,0.69006185601365,10,-0.019209836795926,20007.4501922131
4,0.366802637929241,29,-0.019294521212578,5559.2205529213
5,0.100393287145798,123,-0.019604015629739,4772.36075878143
7,0.034610424283427,173,-0.019713121745736,4193.12250709534
8,0.570620059910357,10,-0.019898203387857,6895.17437648773
2,0.527341408389828,12,-0.020007940102369,10886.6413767338
6,0.82716270837948,10,-0.020044324360788,16106.4492313862
8,0.85015816263521,10,-0.020291100069881,15758.6289217472
7,0.723748893114318,11,-0.02030087178573,13513.7394988537
2,0.097648805954135,64,-0.020405296422541,11272.6832311153
7,0.823003650275961,10,-0.020540331117809,16694.8876428604
8,0.806528737794433,10,-0.02054207958281,9059.48677921295
4,0.218588062370532,140,-0.020940453186631,6231.00959157944
3,0.84831786497304,14,-0.020977632794529,7822.0032145977
8,0.742450572830767,10,-0.020981064066291,14145.1263551712
6,0.061901521981624,185,-0.021307270415127,5457.26763892174
7,0.899934029143334,10,-0.021452203392983,15149.9095673561
10,0.710463255367775,14,-0.021485910750926,5130.06665539742
5,0.698829181180881,10,-0.021861192770302,18221.1082024574
4,0.767083865587239,10,-0.021963938698173,19073.9658310413
7,0.786010830814996,10,-0.0220388953574,8750.81855225563
10,0.372568902741775,19,-0.022131498903036,2360.85155105591
7,0.6285490284565,25,-0.022181348502636,3466.06182312965
5,0.707330267514293,10,-0.022222052328289,21135.9683828354
5,0.837582233576362,12,-0.022267033811659,7085.58264636993
10,0.810327753699371,11,-0.022400199435651,10281.582341671
