batch_size,lrate,neurons,objective,elapsed_sec
6,0.005232326845556,145,-1.91713550520944E-05,4685.40020155907
10,0.029200381628426,129,-8.92840289452579E-05,2442.54274892807
5,0.026371892022545,116,-0.000249524171522,4333.8260641098
8,0.050633567817077,50,-0.000682217313442,3184.080960989
9,0.000258365691288,88,-0.001066817122046,3485.57565522194
10,0.038519883153295,112,-0.001152739278041,2261.67464566231
7,0.021041682023387,18,-0.001245404442307,3085.2457215786
5,0.036353420924948,17,-0.00169343026937,4283.58537149429
9,0.020039426199175,192,-0.001804134825943,3692.02798557281
4,0.01,10,-0.00292467456311,5065.4052438736
6,0.034270572614624,102,-0.003707481687889,4278.41550755501
3,0.046870071773609,56,-0.004462117352523,7085.29044222832
9,0.114223999490786,12,-0.004574340255931,3255.36736869812
7,0.08566990920217,55,-0.007417336339131,3170.21067357063
7,0.034610424283427,173,-0.00780600332655,3665.99247550964
5,0.10974328860076,23,-0.009044577833265,4128.87312793732
8,0.166684355954695,19,-0.011098653636873,3206.43920612335
10,0.439180703921824,20,-0.011629166547209,2162.97660923004
1,0.035035530142624,45,-0.012252590153366,20784.5216231346
3,0.140954844693781,66,-0.012818509014323,6829.68711590767
5,0.147252608189084,27,-0.013082946185023,4107.49294352531
10,0.479929897496318,14,-0.013251672964543,2183.02057123184
10,0.372568902741775,19,-0.013263578526676,2157.01266694069
9,0.26871437308042,19,-0.013503013877198,3187.10694241524
10,0.272338243587388,47,-0.013596791774035,2187.01884293556
5,0.100393287145798,123,-0.013763639843091,4578.87010884285
10,0.464474993595096,31,-0.014369858428836,4323.42384672165
10,0.909150678704879,26,-0.014704369474202,4399.2767367363
10,0.523781386501869,18,-0.015023805666715,2117.0321097374
3,0.104948958000856,67,-0.015336174471304,7060.39001631737
3,0.25700673509706,13,-0.015382445044816,7366.29965758324
5,0.237290435471617,12,-0.015395000111312,3992.72871994972
7,0.388423357639179,22,-0.015616161143407,3225.39333295822
5,0.212001954930893,72,-0.016139048151672,4223.22218561173
9,0.140139846545372,78,-0.016901537729427,3259.59121370316
10,0.857954860919569,22,-0.016914460808039,2147.01754260063
8,0.569660128622935,30,-0.017215352505446,3129.35183548927
10,0.432241164549917,12,-0.017695853486657,2207.18960475922
4,0.216655699071382,84,-0.017749128118157,5246.19002771378
5,0.064993464927542,84,-0.018418145598844,4273.40148091316
2,0.527341408389828,12,-0.018695266917348,9882.67868757248
7,0.421838078271219,19,-0.019001775793731,3069.22107744217
5,0.659173243877947,27,-0.019375244621188,4017.25587916374
10,0.59295183451938,27,-0.020068562589586,4333.96905565262
10,0.323097258740754,68,-0.020293831825256,2211.6384241581
4,0.555018631799463,14,-0.020308735221624,4864.96572184563
10,0.559006904809486,31,-0.020707487128675,4283.75352525711
6,0.342708691662627,89,-0.020741610601544,4273.61899018288
3,0.450457185321082,29,-0.020942706335336,7015.79073858261
10,0.702624073374053,34,-0.022388104349375,4293.37893509865
7,0.981010959469801,17,-0.02352792667225,3210.25313735008
4,0.512317385038831,19,-0.02467775195837,5205.74553990364
5,0.897676793357944,38,-0.02500521671027,4073.39310193062
6,0.680344689461314,26,-0.025263215228915,4107.67909121513
7,0.6285490284565,25,-0.025560802407563,3144.30345845222
3,0.043394186303446,103,-0.025755423121154,7266.17738676071
8,0.651312379569078,49,-0.02577978335321,3161.10731768608
1,0.571123071860156,11,-0.025861398223788,20196.5875854492
1,0.247928381054524,25,-0.026352977985516,19331.1052513123
7,0.335403107406545,107,-0.02763081882149,3355.231798172
9,0.135799472846754,194,-0.027791162859649,3787.61648845673
9,0.592826675183242,33,-0.028026754315943,3165.27487206459
6,0.061901521981624,185,-0.028376078233123,4915.74408817291
4,0.23963626563748,55,-0.028930163010955,5360.91020965576
5,0.115667670893123,193,-0.029170986730605,5045.15300130844
8,0.391488906356571,70,-0.030114530026913,3216.08541870117
3,0.771236831663555,16,-0.030407275259495,6759.49055528641
2,0.460893889268608,24,-0.030511210300028,10370.7399570942
6,0.178361586816563,71,-0.030765118636191,4273.19146060944
6,0.140331673003954,111,-0.030790304020047,4292.97984409332
4,0.822176752282806,169,-0.030862027406693,5948.57028245926
10,0.100974092732442,124,-0.031977653503418,2247.67512655258
4,0.366802637929241,29,-0.032307535409927,5014.79074478149
10,0.54705937719633,34,-0.03307231888175,2207.00343489647
4,0.692350170566701,42,-0.033392934501171,5350.45961737633
