batch_size,lrate,neurons,objective,elapsed_sec
4,0.01,10,-0.00118026714771986,3463.2889602184296
9,0.0002583656912875326,88,-9.984392090700566e-06,1359.1999955177307
7,0.3989074278754391,104,-0.28033275753259657,5940.997800111771
3,0.10494895800085587,67,-0.04470567442476749,4457.6107041835785
9,0.282259484597873,139,-0.4531367063522339,5015.085889816284
9,0.2687143730804203,19,-0.022829122934490444,7829.758125782013
9,0.4640183127259341,97,-0.2630340874195099,2581.078070163727
3,0.3742349005853525,199,-1.178171956539154,8740.961595773697
7,0.38842335763917857,22,-0.04883818048983812,2521.846153974533
9,0.373753957095675,177,-0.9905133754014969,2883.3285427093506
10,0.5681998659481773,122,-1.1257300972938538,2163.416136741638
9,0.1142239994907861,12,-0.009545652708038688,5619.612766504288
10,0.2723382435873876,47,-0.057361820712685585,2105.2927832603455
2,0.5273414083898277,12,-0.04670008234679699,5906.7118175029755
2,0.7860486745265011,73,-0.6693259954452515,6268.0987231731415
2,0.25978703047746626,153,-0.1586885094642639,6138.727255105972
9,0.5958231410672242,17,-0.06914424747228623,2591.039841890335
7,0.5348850758640296,158,-0.754511034488678,2953.4091000556946
8,0.9141182513040951,80,-0.5305710554122924,2736.8580589294434
7,0.36774387342772524,91,-0.26233160942792894,2839.281792640686
9,0.9908262174332739,105,-1.0667544305324554,7924.437057733536
10,0.37256890274177457,19,-0.026001778431236744,2206.5054602622986
8,0.8380944736876693,50,-0.15698337852954863,2772.9824209213257
6,0.6141371262619167,100,-0.46537322998046876,6316.654238939285
5,0.9192368852460719,105,-0.5856370031833649,3384.120297193527
7,0.6511147105488001,155,-1.327827697992325,5108.603409290314
6,0.034270572614623844,102,-0.009327381197363139,3460.303941965103
6,0.9873514424483194,86,-0.7171022236347199,3422.3914959430695
9,0.7226910742560726,195,-2.621658277511597,3235.4505734443665
2,0.6639158488596668,193,-2.3481693267822266,7485.963992357254
9,0.47980054813209644,91,-0.3428437665104866,2937.3486092090607
10,0.10097409273244237,124,-0.03594784438610077,2447.8026683330536
8,0.720940452191119,66,-0.30966405272483827,2316.5690846443176
7,0.9810109594698017,17,-0.0630800910294056,3069.1764628887177
8,0.42160620089734735,197,-0.9172344446182251,3468.8121433258057
9,0.020039426199175373,192,-0.011907271621748806,1991.2570405006409
4,0.5159493478172162,134,-0.6283300042152404,4402.681936264038
5,0.5328940297663698,90,-0.1934763304889202,6251.228433847427
8,0.050633567817076806,50,-0.009789087995886802,3039.0786411762238
2,0.771606050569153,97,-0.6523894488811492,6815.122709512711
6,0.7021003974148863,58,-0.20134307295084,2766.9852142333984
3,0.38963650974330427,196,-0.16776772812008858,8262.12427330017
7,0.5361245245394034,163,-1.0145474970340729,5059.4209225177765
5,0.525109837828377,97,-0.23805030807852745,3773.488611936569
6,0.4470790203872866,188,-0.8342403769493103,6633.275769710541
7,0.9178853015989243,54,-0.2353283606469631,3378.7595360279083
5,0.7081262960141889,123,-0.6645325571298599,3665.638430595398
9,0.38101413277794277,114,-0.528007087111473,3515.4100291728973
5,0.10974328860075987,23,-0.014412939082831144,3850.4615240097046
7,0.735834803769807,188,-2.336712288856506,3789.887157201767
3,0.5030532524940349,200,-0.9196423888206482,6129.910055398941
2,0.33254732584508334,101,-0.378908583521843,9161.84552693367
5,0.9576958012527944,105,-0.7272584587335587,2953.6184220314026
5,0.33491647407523173,153,-0.19013716280460358,4490.557162284851
2,0.9703722703500831,62,-0.5226092219352723,6785.339283943176
10,0.3503623069313965,132,-0.38147251307964325,3022.926700592041
6,0.6195384135788826,115,-0.7860093235969543,4275.280786991119
7,0.0346104242834273,173,-0.024973385967314243,2583.5122697353363
9,0.8575979028348486,171,-4.74080228805542,4190.611340045929
8,0.39148890635657096,70,-0.2284952849149704,5283.3418872356415
10,0.5552030095324372,135,-0.45049232244491577,3555.456520318985
5,0.02637189202254455,116,-0.011019676690921187,2286.6109590530396
5,0.11566767089312333,193,-0.10269477404654026,4031.445525407791
6,0.5975056261873014,95,-0.35708353519439695,4663.248534679413
4,0.822176752282806,169,-2.7452404499053955,5363.517682313919
9,0.5262560835514507,29,-0.13537623658776282,5279.161916971207
6,0.06190152198162355,185,-0.052481484785676005,6225.552148342133
5,0.608199035153987,86,-0.29616260528564453,4663.428906679153
10,0.038519883153294805,112,-0.00651365309022367,3643.4995675086975
10,0.5752706018589187,175,-1.9632501006126404,3765.3391346931458
2,0.46089388926860764,24,-0.08022817075252534,5626.31075501442
10,0.7301344154169183,152,-1.8849388360977173,3734.0164346694946
