batch_size,lrate,neurons,objective,elapsed_sec
9,0.000258365691288,88,-0.000331789148913,2398.32502794266
10,0.004925391458279,14,-0.001505183987319,2800.89868569374
4,0.01,10,-0.002688183216378,1601.74210596085
2,0.053731446860599,13,-0.014667582232505,4751.66986131668
1,0.013835457911809,13,-0.015266030747444,5898.61963653565
6,0.014547798982953,13,-0.01537058474496,3863.10973644257
10,0.059678207039344,14,-0.022405338473618,2188.74110889435
9,0.014777398300721,13,-0.023303794767708,3528.02330541611
4,0.116931382567709,195,-0.023664245381951,3577.03941774368
9,0.595823141067224,17,-0.02495007077232,1686.9421184063
6,0.005232326845556,145,-0.025499688275159,2745.25755238533
2,0.006518235979334,164,-0.025750968046486,10902.4986279011
4,0.23963626563748,55,-0.025889332219958,2845.69093847275
9,0.140139846545372,78,-0.025988844502717,2623.86558675766
1,0.002119627227657,167,-0.026760020339862,10370.4872267246
3,0.279643404555961,164,-0.026906065456569,7246.84881901741
7,0.6285490284565,25,-0.026996896136552,2018.37387633324
8,0.007959908540364,166,-0.027015168964863,5627.54753232002
10,0.137508379602289,13,-0.027039481326938,3251.51817202568
7,0.021041682023387,18,-0.027166850864887,1339.75745725632
7,0.128570810708534,160,-0.027174672950059,6706.24970245361
10,0.116207298328056,11,-0.027191926725209,2479.25530004501
8,0.914118251304095,80,-0.027227537706494,2950.90392208099
10,0.100974092732442,124,-0.027229059487581,3677.07546019554
10,0.439180703921824,20,-0.027229071594775,1991.74288034439
10,0.059454061752215,167,-0.027229086495936,7392.12774252892
7,0.218223385418043,88,-0.027229087240994,3466.46023797989
10,0.272338243587388,47,-0.027229089289904,2713.67563104629
7,0.105264513285993,163,-0.027229097019881,6575.78485941887
6,0.702100397414886,58,-0.027229099720717,3165.73527765274
6,0.347274670376127,112,-0.027229108475149,3226.21211504936
7,0.112362143705781,155,-0.027229113318026,4590.4718542099
6,0.601369454256121,55,-0.027229126170278,2468.38369202614
4,0.352524682677833,166,-0.027229155600071,10578.1240241528
5,0.897676793357944,38,-0.027229158207774,2839.289239645
4,0.304552859361013,153,-0.027229164540768,4935.90755343437
4,0.293682081181612,159,-0.02722923271358,13635.9419455528
6,0.162069004840061,165,-0.027229294553399,6074.96490168572
3,0.343173912662389,167,-0.027229321375489,11991.3194093704
4,0.218588062370532,140,-0.027229329943657,3455.97111725807
5,0.115667670893123,193,-0.027229337953031,4901.63428330421
10,0.749276197859396,10,-0.027229376137257,3106.09671187401
5,0.14551245708565,164,-0.02722938079387,6671.90814518929
9,0.592826675183242,33,-0.027229407709092,2814.53612136841
4,0.24470405878805,161,-0.027229455858469,8741.64905524254
4,0.31535639574699,160,-0.027229461818934,11253.4823219776
10,0.523781386501869,18,-0.027229541912675,1561.52877306938
5,0.122166874721042,160,-0.02722958335653,9629.27083969116
5,0.271740289998292,170,-0.027229813393205,4484.6113615036
6,0.391901059680673,74,-0.027229841984809,3146.75611877441
4,0.22577552460254,151,-0.02722985856235,3462.22192573547
8,0.562338822461579,21,-0.027229915186763,1806.60371828079
8,0.569660128622935,30,-0.027229943498969,2278.49761223793
5,0.02975495280358,162,-0.027230095118284,6630.52286314964
6,0.108266591127808,165,-0.027230211533606,8636.84521222115
3,0.686623700731405,136,-0.027230267692357,4163.04756975174
3,0.59765898367108,156,-0.027230321057141,4209.68704390526
3,0.374234900585352,199,-0.027230325248093,6115.68101215363
3,0.503053252494035,200,-0.027230392955244,5471.76330375671
10,0.432241164549917,12,-0.027230596169829,1279.73875427246
3,0.587496366913856,168,-0.027230831887573,8522.13433551788
3,0.37192508295912,161,-0.027230837382376,7408.50883221626
4,0.332754232141038,109,-0.027230892330408,3958.48621916771
4,0.477655473072323,62,-0.02723125629127,2709.59925270081
6,0.255710834075184,75,-0.027231435477734,3069.80188345909
3,0.389636509743304,196,-0.027231958787888,5432.03730821609
9,0.526256083551451,29,-0.027232005912811,2267.59305143356
10,0.372568902741775,19,-0.027232683263719,1269.79203081131
10,0.038519883153295,112,-0.0272326907143,1791.22788023949
3,0.762469855188278,90,-0.027232863102108,3347.31413340569
3,0.520102321014339,162,-0.027233326714486,8020.63465094566
10,0.019789104433935,162,-0.02723366394639,4751.80722498894
3,0.214885810152176,168,-0.027233858034015,4525.31447696686
4,0.253248110969242,100,-0.027234342321754,3185.77454185486
4,0.134357690253826,166,-0.02723480835557,7261.7355966568
5,0.212001954930893,72,-0.027236342430115,2222.89208483696
7,0.388423357639179,22,-0.027237346116454,1605.52927923203
10,0.029200381628426,129,-0.027241234667599,1971.28690195084
6,0.942309525750228,28,-0.027241242490709,1936.33292174339
4,0.406085647118502,161,-0.027241285517812,6665.57545208931
10,0.051581566222217,12,-0.02724227681756,2292.76154518127
4,0.137645451543816,160,-0.027242391556501,10231.9291715622
6,0.178361586816563,71,-0.027242406085134,2804.13141989708
9,0.020039426199175,192,-0.027243200223893,2864.61845874786
9,0.26871437308042,19,-0.027243620622903,1631.78579688072
6,0.061901521981624,185,-0.027245149202645,4218.1435277462
10,0.396708469345139,10,-0.027249269187451,3060.56850409508
3,0.37039511288869,167,-0.02724940571934,11281.2039570808
10,0.956633946621042,13,-0.027250457555056,3226.31673908234
5,0.100393287145798,123,-0.02725098002702,3035.74518656731
3,0.29570398857253,167,-0.027255266066641,13131.2834877968
10,0.388823050245042,10,-0.027257920242846,3050.51726341248
10,0.930359922710368,13,-0.027259053662419,3205.13963770866
6,0.680344689461314,26,-0.027259596996009,2177.50583600998
10,0.033725261254282,13,-0.027261546812952,2569.87154221535
7,0.034610424283427,173,-0.027263663988561,2985.42149281502
6,0.025546269904326,13,-0.027264108881354,3808.41336679459
6,0.034270572614624,102,-0.027267677895725,2247.11423158646
4,0.422801509879292,162,-0.027267822623253,11083.5869436264
2,0.01276579796486,162,-0.027272799611092,7276.57749509811
10,0.058307828295359,12,-0.027273112908006,2037.62673306465
10,0.069253026742118,13,-0.027274456806481,3311.72425103188
4,0.113633713207524,164,-0.027276170626283,7287.96400690079
4,0.022706578530537,167,-0.027278190851212,8943.0069565773
8,0.057363878977308,13,-0.027279207855463,3621.95057606697
8,0.050633567817077,50,-0.027279568091035,1621.80750966072
7,0.421838078271219,19,-0.027284826524556,1641.86963891983
5,0.026371892022545,116,-0.027285231277347,2348.60297942162
10,0.100607397859649,13,-0.027289669029415,3282.06422042847
5,0.064993464927542,84,-0.027291825506836,2217.60134553909
5,0.10974328860076,23,-0.027293999679387,1585.79780960083
6,0.06803695319397,14,-0.027297209203243,2873.89132809639
8,0.0847170011671,15,-0.027299685403705,2824.97674942017
9,0.08750309321502,13,-0.027299992460758,3588.42471837997
8,0.086086493238759,13,-0.02730010971427,3487.80479311943
9,0.093310358023985,13,-0.027303043566644,3557.86865472794
9,0.048694498406639,13,-0.02730411272496,3646.60292983055
5,0.032677638617743,13,-0.027304861694574,3799.00198769569
2,0.023408046089195,164,-0.027307638339698,7794.86915993691
3,0.237488115415379,162,-0.027312383893877,10185.5378324986
5,0.036353420924948,17,-0.027314976789057,1471.60019445419
7,0.086256401259388,13,-0.027315253019333,2755.38700270653
7,0.08566990920217,55,-0.027315459121019,1670.87944412231
7,0.094109798857736,11,-0.027315461914986,2763.49512434006
3,0.043394186303446,103,-0.027318064682186,3015.20432806015
5,0.929443880098084,10,-0.027318130712956,3245.67297005653
9,0.063729608799774,10,-0.027319726441056,2398.5142326355
5,0.046834744063679,13,-0.027319754008204,3782.29857754707
10,0.243953756329605,11,-0.027322622016072,2267.753262043
7,0.121551664691274,10,-0.027329143416137,2489.64729309082
5,0.147252608189084,27,-0.027329916600138,1615.81566357613
3,0.046870071773609,56,-0.027332508191466,2489.45028853416
9,0.111649534224891,11,-0.027333377674222,2493.50723910332
9,0.114223999490786,12,-0.027335585933179,1175.64080309868
3,0.04995755361943,163,-0.027348216064274,7969.76408600807
2,0.029982269492717,165,-0.027357010915876,11982.001127243
10,0.196196427184412,10,-0.027358444407582,3075.43203878403
6,0.140331673003954,111,-0.02736405748874,2432.93054485321
8,0.166684355954695,19,-0.027368465811014,1351.01231169701
